IdTweet,IdUser,UserName,ScreenName,Location,TweetAt,UploadTweet,OriginalTweet
1471322989568299008,1410229937290637312,Fachrezzy,fachrezzy_s,Dibawah Lindungan Allah swt,2021-12-16 03:35:11+00:00,Twitter Web App,@Muhsinsukandar5 @py2kphotography @FerdinandHaean3 @KPK_RI trus gue tanya bong..apa bedanya dg sumur resapan..kenap… https://t.co/NFXLNejKHp
1471322987999555585,790616377,Hellboy,delliAmin,,2021-12-16 03:35:10+00:00,Twitter for Android,"@TomCruzz555 koq KPK nya berpolitik praktis, emang cocok KPK ini dibubarkan aja.. bagaimana bisa 0%, mungkin kalo t… https://t.co/5VcFREQIAe"
1471322987261349888,1058255746482098176,Mugi.com,Mujiyono_1926,"Purbalingga, Indonesia",2021-12-16 03:35:10+00:00,Twitter for Android,"@Fer_78748 kacau bener ni KPK, buat apa coba ngusulin PT0%"
1471322892738519043,1440106084845318145,Alejandro,Alejandro170776,,2021-12-16 03:34:48+00:00,Twitter for Android,"@KPK_RI kami menunggu keseriusannya dalam menangani Formula E, Sumur Resapan dan lain2. Jeruk yg bisa dibagi2 ke wa… https://t.co/RE1Qry8I0z"
1471322880159805440,1402234579985989632,`•.^mas▫WAHAβ.^•`,WahabWahabbb911,NEGARA KESATUAN RI. ,2021-12-16 03:34:45+00:00,Twitter for Android,"@Fer_78748 @KPK_RI ketuanya merangkap kadrun. 
Ga malu numpang hidup dg pemerintah yg sah. 
Penghianat kau ket kpk. 
@jokowi"
1471322814187589635,1136467266,Follback Dong Kaka',LutfiElFatih,,2021-12-16 03:34:29+00:00,Twitter Web App,"RT @Dandhy_Laksono: Dari yang tersisa seperti Bansos pun, dikorupsi.

Dari pemberantas korupsi yang tersisa seperti KPK pun, dilucuti."
1471322808550526977,935979134,janur,inungjanur,"Purbalingga, Indonesia",2021-12-16 03:34:28+00:00,Twitter Web App,"RT @Dandhy_Laksono: Dari yang tersisa seperti Bansos pun, dikorupsi.

Dari pemberantas korupsi yang tersisa seperti KPK pun, dilucuti."
1471322726866374656,1344218267477368833,Yanti Erwien,ewink_tie,,2021-12-16 03:34:08+00:00,Twitter for Android,"RT @lintang_ayoe: Selama aku magang, aku belajar penyusunan RKAP project dll untk 1 thn anggaran pekerjaan 

jdi kontraktor ga bisa abal2,…"
1471322685841948677,1286444704632979456,𝕃𝕖𝕞𝕓𝕒𝕙 𝕋𝕚𝕕𝕒𝕣 ✍,LembahTidar_,Indonesia,2021-12-16 03:33:58+00:00,Twitter for Android,"RT @FerdinandHaean3: Jk gagal Juni 2022, mk Anies Baswedan hrs dipenjarakan karena telah merugikan keuangan negara sangat besar..!!! Rakyat…"
1471322656783802371,2160633223,120+220hexktor,AdinPrasada,,2021-12-16 03:33:51+00:00,Twitter Web App,@KadrunGoblokPea biar enak cabut dulu dr KPK jd bebas koar koar
1471322591520440324,899456168619237376,Rakyat Recehan™,Rakyat_Recehan,Boncengan Ojol ,2021-12-16 03:33:36+00:00,Twitter for Android,RT @FelixMagath6: @Rakyat_Recehan Oh pantesan kasusnya jalan di tempat apalagi setelah didatangi Ketua KPK DKI si BW... 🤦‍♂️🤦‍♂️🤨🤨
1471322559723425793,1346814043818917889,jebeng tetuko,SenoWerkudoro4,,2021-12-16 03:33:28+00:00,Twitter for Android,@Fer_78748 Si Firli ini kan ketua KPK kenapa ngurusin presidential Threshold hahahaha.   Urusin itu kasus kasus DKI… https://t.co/4y9geSy6pE
1471322532108140545,1263004629786169344,Riesky Novri,Rieskynovri,Indonesia,2021-12-16 03:33:22+00:00,Twitter for Android,@KadrunGoblokPea KPK bicara politik?
